"filename", "language", "YAML", "JSON", "Dart", "Markdown", "Shell Script", "HTML", "Swift", "C++", "XML", "Properties", "Groovy", "comment", "blank", "total"
"d:\WORK\code\flutter\vibe\flutter_vss\README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\WORK\code\flutter\vibe\flutter_vss\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"d:\WORK\code\flutter\vibe\flutter_vss\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 6, 9, 59
"d:\WORK\code\flutter\vibe\flutter_vss\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"d:\WORK\code\flutter\vibe\flutter_vss\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 11, 3, 55
"d:\WORK\code\flutter\vibe\flutter_vss\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"d:\WORK\code\flutter\vibe\flutter_vss\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"d:\WORK\code\flutter\vibe\flutter_vss\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"d:\WORK\code\flutter\vibe\flutter_vss\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"d:\WORK\code\flutter\vibe\flutter_vss\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"d:\WORK\code\flutter\vibe\flutter_vss\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"d:\WORK\code\flutter\vibe\flutter_vss\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\WORK\code\flutter\vibe\flutter_vss\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\WORK\code\flutter\vibe\flutter_vss\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 5, 26
"d:\WORK\code\flutter\vibe\flutter_vss\assets\icons\icon_barcode.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\WORK\code\flutter\vibe\flutter_vss\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"d:\WORK\code\flutter\vibe\flutter_vss\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"d:\WORK\code\flutter\vibe\flutter_vss\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"d:\WORK\code\flutter\vibe\flutter_vss\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\WORK\code\flutter\vibe\flutter_vss\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\WORK\code\flutter\vibe\flutter_vss\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"d:\WORK\code\flutter\vibe\flutter_vss\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"d:\WORK\code\flutter\vibe\flutter_vss\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\home\view\home_view.dart", "Dart", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 70
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\home\view\widget\drawer_menu\drawer_items.dart", "Dart", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 94
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\home\view\widget\drawer_menu\home_drawer_menu.dart", "Dart", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\home\view\widget\home_appbar.dart", "Dart", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 46
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\home\view\widget\home_card_button.dart", "Dart", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\home\view_model\home_view_model.dart", "Dart", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\login\view\login_view.dart", "Dart", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 64
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\login\view\mixin\login_view_mixin.dart", "Dart", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 53
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\login\view\widget\login_settings_button.dart", "Dart", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\login\view\widget\username_password_textfield.dart", "Dart", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 32
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\login\view_model\login_view_model.dart", "Dart", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 94
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\login\view_model\state\login_base_state.dart", "Dart", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\login\view_model\state\login_state.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\check_order\view\check_orders_view.dart", "Dart", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\check_order\view\widget\check_orders_appbar.dart", "Dart", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\check_order\view\widget\check_orders_print_wayybill_floating_button.dart", "Dart", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\detail\view\mixin\order_detail_view_mixin.dart", "Dart", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\detail\view\order_detail_view.dart", "Dart", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 80
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\detail\view\widget\check_orders_navigate_button.dart", "Dart", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\detail\view\widget\decoration\product_listview_icon_decoration.dart", "Dart", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\detail\view\widget\order_detail_appbar.dart", "Dart", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\detail\view\widget\order_detail_listview_separated.dart", "Dart", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 48
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\detail\view\widget\order_detail_loading.dart", "Dart", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
